iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BHR,Asia,Bahrain,2020-11-03,82133.0,210.0,228.571,323.0,2.0,1.0,48268.583,123.414,134.329,189.823,1.175,0.588,,,,,,,,,1770015.0,10699.0,1040.217,6.288,9403.0,5.526,41.138000000000005,0.024,units unclear,,1701583.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.846
BHS,North America,Bahamas,2020-11-03,6735.0,21.0,38.429,146.0,2.0,2.0,17126.597,53.401,97.721,371.267,5.086,5.086,,,,,,,,,,,,,,,,,,,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.807
BIH,Europe,Bosnia and Herzegovina,2020-11-03,52269.0,764.0,1521.857,1280.0,32.0,25.143,15931.712,232.869,463.866,390.147,9.754,7.664,,,,,,,,,,,,,,,,,,,3280815.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
BLR,Europe,Belarus,2020-11-03,100400.0,941.0,956.143,989.0,4.0,4.0,10625.102,99.584,101.186,104.664,0.423,0.423,,,,,,,,,,,,,,,,,,,9449321.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.808
BLZ,North America,Belize,2020-11-03,3624.0,162.0,60.571,59.0,1.0,1.143,9114.207,407.423,152.335,148.383,2.515,2.874,,,,,,,,,,,,,,,,,,,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.708
BMU,North America,Bermuda,2020-11-03,206.0,7.0,1.857,9.0,0.0,0.0,3308.015,112.408,29.823,144.525,0.0,0.0,,,,,,,,,,,,,,,,,,,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,
BOL,South America,Bolivia,2020-11-03,141867.0,34.0,130.714,8741.0,10.0,11.857,12153.401,2.913,11.198,748.82,0.857,1.016,,,,,,,,,,,,,,,,,,,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.693
BRA,South America,Brazil,2020-11-03,5554206.0,8501.0,20621.714,160253.0,179.0,408.0,26130.135,39.994,97.016,753.921,0.842,1.919,,,,,,,,,,,,,,,,,,,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.759
BRB,North America,Barbados,2020-11-03,238.0,1.0,0.714,7.0,0.0,0.0,828.198,3.48,2.486,24.359,0.0,0.0,,,,,,,,,,,,,,,,,,,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
BRN,Asia,Brunei,2020-11-03,148.0,0.0,0.0,3.0,0.0,0.0,338.299,0.0,0.0,6.857,0.0,0.0,,,,,,,,,,,,,,,,,,,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.853
BTN,Asia,Bhutan,2020-11-03,356.0,2.0,2.0,,0.0,0.0,461.372,2.592,2.592,,0.0,0.0,,,,,,,,,,,,,,,,,,,771612.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.612
BWA,Africa,Botswana,2020-11-03,6642.0,0.0,51.286,24.0,0.0,0.429,2824.43,0.0,21.809,10.206,0.0,0.182,,,,,,,,,,,,,,,,,,,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.717
CAF,Africa,Central African Republic,2020-11-03,4866.0,0.0,0.429,62.0,0.0,0.0,1007.503,0.0,0.089,12.837,0.0,0.0,,,,,,,,,,,,,,,,,,,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.367
CAN,North America,Canada,2020-11-03,240263.0,3422.0,2864.286,10208.0,29.0,33.571,6365.905,90.668,75.891,270.467,0.768,0.889,,,,,,,,,,,,,,,,,,,37742157.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.926
CHE,Europe,Switzerland,2020-11-03,175570.0,21842.0,7841.429,2128.0,93.0,30.714,20286.28,2523.739,906.04,245.88,10.746,3.549,,,,,,,,,,,,,,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHL,South America,Chile,2020-11-03,513188.0,1324.0,1370.0,14302.0,55.0,42.714,26845.699,69.261,71.667,748.161,2.877,2.234,,,,,,,,,,,,,,,,,,,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.843
CHN,Asia,China,2020-11-03,91396.0,49.0,31.571,4739.0,0.0,0.0,63.499,0.034,0.022,3.293,0.0,0.0,,,,,,,,,,,,,,,,,,,1439323774.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CIV,Africa,Cote d'Ivoire,2020-11-03,20753.0,37.0,38.143,126.0,0.0,0.571,786.746,1.403,1.446,4.777,0.0,0.022,,,,,,,,,,,,,,,,,,,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.492
CMR,Africa,Cameroon,2020-11-03,21793.0,0.0,0.0,426.0,0.0,0.0,820.957,0.0,0.0,16.048,0.0,0.0,,,,,,,,,,,,,,,,,,,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.556
COD,Africa,Democratic Republic of Congo,2020-11-03,11372.0,1.0,28.429,307.0,0.0,0.429,126.974,0.011,0.317,3.428,0.0,0.005,,,,,,,,,,,,,,,,,,,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.457
COG,Africa,Congo,2020-11-03,5290.0,0.0,5.286,92.0,0.0,0.0,958.665,0.0,0.958,16.672,0.0,0.0,,,,,,,,,,,,,,,,,,,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.606
COL,South America,Colombia,2020-11-03,1093256.0,9935.0,9743.429,31670.0,155.0,188.857,21485.732,195.252,191.487,622.41,3.046,3.712,,,,,,,,,,,,,,,,,,,50882884.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.747
COM,Africa,Comoros,2020-11-03,545.0,0.0,4.0,7.0,0.0,0.0,626.729,0.0,4.6,8.05,0.0,0.0,,,,,,,,,,,,,,,,,,,869595.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.503
CPV,Africa,Cape Verde,2020-03-21,2.0,2.0,,,0.0,,3.597,3.597,,,0.0,,,,,,,,,,,,,,,,,,,43.52,555988.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.654
CRI,North America,Costa Rica,2020-11-03,111257.0,1286.0,971.0,1404.0,19.0,13.143,21840.304,252.448,190.612,275.612,3.73,2.58,,,,,,,,,,,,,,,,,,,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794
CUB,North America,Cuba,2020-11-03,6970.0,35.0,53.571,129.0,1.0,0.143,615.365,3.09,4.73,11.389,0.088,0.013,,,,,,,,,,,,,,,,,,,11326616.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
CUW,North America,Curacao,2020-11-03,995.0,8.0,17.429,1.0,0.0,0.0,6063.376,48.751,106.207,6.094,0.0,0.0,,,,,,,,,,,,,,,,,,,164100.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,
CYM,North America,Cayman Islands,2020-11-03,240.0,0.0,0.143,1.0,0.0,0.0,3651.856,0.0,2.174,15.216,0.0,0.0,,,,,,,,,,,,,,,,,,,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92,
CYP,Europe,Cyprus,2020-11-03,4760.0,197.0,160.571,27.0,1.0,0.286,5434.417,224.912,183.322,30.825,1.142,0.326,,,,,,,,,,,,,,,,,,,875899.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CZE,Europe,Czech Republic,2020-11-03,350896.0,9252.0,11789.429,3654.0,225.0,184.143,32766.513,863.948,1100.892,341.209,21.01,17.195,,,,,,,,,,,,,,,,,,,10708982.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.888
DEU,Europe,Germany,2020-11-03,560379.0,15352.0,15872.0,10661.0,131.0,80.429,6688.382,183.233,189.44,127.244,1.564,0.96,,,,,,,,,,,,,,,,,,,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.936
DJI,Africa,Djibouti,2020-11-03,5573.0,10.0,4.571,61.0,0.0,0.0,5640.677,10.121,4.627,61.741,0.0,0.0,,,,,,,,,,,,,,,,,,,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.476
DMA,North America,Dominica,2020-11-03,42.0,0.0,0.571,,0.0,0.0,583.406,0.0,7.938,,0.0,0.0,,,,,,,,,,,,,,,,,,,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.715
DNK,Europe,Denmark,2020-11-03,48241.0,942.0,975.571,724.0,1.0,2.286,8328.61,162.632,168.428,124.996,0.173,0.395,,,,,,,,,,,,,,,,,,,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.929
DOM,North America,Dominican Republic,2020-11-03,127591.0,259.0,392.571,2250.0,1.0,3.571,11761.811,23.876,36.189,207.413,0.092,0.329,,,,,,,,,,,,,,,,,,,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.736
DZA,Africa,Algeria,2020-11-03,58574.0,302.0,307.857,1980.0,7.0,8.286,1335.749,6.887,7.021,45.153,0.16,0.189,,,,,,,,,,,,,,,,,,,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
ECU,South America,Ecuador,2020-11-03,169562.0,368.0,1054.857,12692.0,8.0,17.0,9610.691,20.858,59.789,719.376,0.453,0.964,,,,,,,,,,,,,,,,,,,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
EGY,Africa,Egypt,2020-11-03,107925.0,189.0,174.0,6291.0,13.0,11.429,1054.631,1.847,1.7,61.475,0.127,0.112,,,,,,,,,,,,,,,,,,,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.696
ERI,Africa,Eritrea,2020-11-03,463.0,0.0,0.286,,0.0,0.0,130.554,0.0,0.081,,0.0,0.0,,,,,,,,,,,,,,,,,,,3546427.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
ESH,Africa,Western Sahara,2020-11-03,766.0,0.0,0.0,1.0,0.0,0.0,1282.373,0.0,0.0,1.674,0.0,0.0,,,,,,,,,,,,,,,,,,,597330.0,,28.4,,1.38,,,,,,,,,70.26,
ESP,Europe,Spain,2020-11-02,1240697.0,55019.0,20339.571,36257.0,379.0,175.143,26536.258,1176.757,435.027,775.471,8.106,3.746,,,,,,,,,,,,,,,,,,,46754783.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.891
EST,Europe,Estonia,2020-11-03,5046.0,61.0,88.286,73.0,0.0,0.0,3803.884,45.984,66.553,55.03,0.0,0.0,,,,,,,,,,,,,,,,,,,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.871
ETH,Africa,Ethiopia,2020-11-03,96942.0,359.0,462.143,1489.0,11.0,7.429,843.241,3.123,4.02,12.952,0.096,0.065,,,,,,,,,,,,,,,,,,,114963583.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.463
FIN,Europe,Finland,2020-11-03,16400.0,109.0,204.286,359.0,1.0,0.714,2959.905,19.673,36.87,64.793,0.18,0.129,,,,,,,,,,,,,,,,,,,5540718.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.92
FJI,Oceania,Fiji,2020-11-03,34.0,0.0,0.143,2.0,0.0,0.0,37.928,0.0,0.159,2.231,0.0,0.0,,,,,,,,,,,,,,,,,,,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.741
FLK,South America,Falkland Islands,2020-11-03,13.0,0.0,0.0,,0.0,0.0,3732.415,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,3483.0,,,,,,,,,,,,,81.44,
FRA,Europe,France,2020-11-03,1466433.0,52518.0,43022.143,37435.0,416.0,345.286,22465.974,804.584,659.106,573.51,6.373,5.29,,,,,,,,,,,,,,,,,,,65273512.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRO,Europe,Faeroe Islands,2020-11-03,495.0,0.0,0.714,,0.0,0.0,10129.95,0.0,14.618,,0.0,0.0,,,,,,,,,,,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67,
GAB,Africa,Gabon,2020-11-03,8984.0,16.0,6.714,55.0,0.0,0.143,4036.432,7.189,3.017,24.711,0.0,0.064,,,,,,,,,,,,,,,,,,,2225728.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.702
GBR,Europe,United Kingdom,2020-11-03,1053864.0,18950.0,22739.143,46853.0,136.0,265.0,15524.025,279.144,334.961,690.172,2.003,3.904,,,,,,,,,,,,,,,,,,,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.922
GEO,Asia,Georgia,2020-11-03,42579.0,0.0,1493.143,342.0,0.0,14.857,10673.636,0.0,374.299,85.732,0.0,3.724,,,,,,,,,,,,,,,,,,,3989175.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.78
GGY,Europe,Guernsey,2020-11-03,271.0,1.0,0.714,13.0,0.0,0.0,4041.639,14.914,10.653,193.879,0.0,0.0,,,,,,,,,,,,,,,,,,,67052.0,,,,,,,,,,,,,,
GHA,Africa,Ghana,2020-11-03,48200.0,76.0,60.714,320.0,0.0,0.571,1551.189,2.446,1.954,10.298,0.0,0.018,,,,,,,,,,,,,,,,,,,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.592
GIB,Europe,Gibraltar,2020-11-03,707.0,4.0,5.286,,0.0,0.0,20984.833,118.726,156.888,,0.0,0.0,,,,,,,,,,,,,,,,,,,33691.0,3457.1,,,,,,,,,,,,79.93,
GIN,Africa,Guinea,2020-11-03,12213.0,18.0,77.714,73.0,0.0,0.286,929.962,1.371,5.918,5.559,0.0,0.022,,,,,,,,,,,,,,,,,,,13132792.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.459
GMB,Africa,Gambia,2020-11-03,3672.0,0.0,1.0,119.0,0.0,0.0,1519.45,0.0,0.414,49.241,0.0,0.0,,,,,,,,,,,,,,,,,,,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
GNB,Africa,Guinea-Bissau,2020-11-03,2413.0,0.0,1.429,41.0,0.0,0.0,1226.119,0.0,0.726,20.833,0.0,0.0,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
GNQ,Africa,Equatorial Guinea,2020-11-03,5089.0,0.0,0.857,83.0,0.0,0.0,3627.266,0.0,0.611,59.16,0.0,0.0,,,,,,,,,,,,,,,,,,,1402985.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
GRC,Europe,Greece,2020-11-03,42080.0,1151.0,1512.0,642.0,7.0,8.714,4037.204,110.428,145.063,61.594,0.672,0.836,,,,,,,,,,,,,,,,,,,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
GRD,North America,Grenada,2020-11-03,29.0,1.0,0.143,,0.0,0.0,257.734,8.887,1.27,,0.0,0.0,,,,,,,,,,,,,,,,,,,112519.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.772
GRL,North America,Greenland,2020-11-03,17.0,0.0,0.0,,0.0,0.0,299.443,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,
GTM,North America,Guatemala,2020-11-03,108104.0,0.0,458.571,3738.0,0.0,12.429,6034.082,0.0,25.596,208.645,0.0,0.694,,,,,,,,,,,,,,,,,,,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.65
GUM,Oceania,Guam,2020-11-03,4693.0,0.0,51.0,79.0,0.0,0.571,27804.933,0.0,302.163,468.057,0.0,3.386,,,,,,,,,,,,,,,,,,,168783.0,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,
GUY,South America,Guyana,2020-11-03,4238.0,30.0,30.286,128.0,2.0,1.286,5388.026,38.141,38.504,162.734,2.543,1.635,,,,,,,,,,,,,,,,,,,786559.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.654
HKG,Asia,Hong Kong,2020-10-27,,,,,,,,,,,,,,,,,,,,,3668835.0,,489.375,,27305.0,3.642,,,tests performed,50.0,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.933
HND,North America,Honduras,2020-11-03,98405.0,193.0,634.143,2688.0,13.0,7.857,9935.275,19.486,64.025,271.389,1.313,0.793,,,,,,,,,,,,,,,,,,,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.617
HRV,Europe,Croatia,2020-11-03,52660.0,1165.0,2207.429,594.0,32.0,20.286,12827.421,283.782,537.706,144.692,7.795,4.941,,,,,,,,,514176.0,7013.0,125.248,1.708,8064.0,1.964,3.653,0.27399999999999997,people tested,,4105268.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
HTI,North America,Haiti,2020-11-03,9054.0,0.0,4.0,232.0,0.0,0.0,794.034,0.0,0.351,20.346,0.0,0.0,,,,,,,,,,,,,,,,,,,11402533.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.498
HUN,Europe,Hungary,2020-11-03,86769.0,3989.0,3303.857,1973.0,84.0,62.571,8981.973,412.925,342.002,204.237,8.695,6.477,,,,,,,,,1111991.0,14620.0,115.109,1.513,15700.0,1.625,4.752,0.21,tests performed,,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
IDN,Asia,Indonesia,2020-11-03,415402.0,2618.0,3209.714,14044.0,101.0,90.429,1518.706,9.571,11.735,51.345,0.369,0.331,,,,,,,,,2941778.0,22218.0,10.755,0.081,23401.0,0.086,7.291,0.13699999999999998,people tested,,273523621.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IMN,Europe,Isle of Man,2020-11-03,355.0,2.0,0.571,24.0,0.0,0.0,4174.899,23.521,6.72,282.247,0.0,0.0,,,,,,,,,,,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4,
IND,Asia,India,2020-11-03,8267623.0,38310.0,45884.857,123097.0,490.0,513.571,5991.012,27.761,33.25,89.2,0.355,0.372,,,,,,,,,111789350.0,1046247.0,81.007,0.758,1052637.0,0.763,22.941,0.044000000000000004,samples tested,,1380004385.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64
IRL,Europe,Ireland,2020-11-03,62750.0,748.0,669.0,1917.0,2.0,4.571,12708.099,151.485,135.486,388.23,0.405,0.926,,,,,,,,,,,,,,,,,,,4937796.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
IRN,Asia,Iran,2020-11-03,628780.0,8289.0,7703.429,35738.0,440.0,397.857,7486.104,98.687,91.715,425.488,5.239,4.737,,,,,,,,,5001422.0,,59.546,,30665.0,0.365,3.9810000000000003,0.251,tests performed,,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRQ,Asia,Iraq,2020-11-03,478701.0,3413.0,3329.0,11017.0,51.0,49.429,11901.323,84.853,82.765,273.901,1.268,1.229,,,,,,,,,,,,,,,,,,,40222503.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.685
ISL,Europe,Iceland,2020-11-03,4931.0,41.0,61.0,12.0,0.0,0.143,14449.817,120.147,178.755,35.165,0.0,0.419,,,,,,,,,,,,,,,,,,,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
ISR,Asia,Israel,2020-11-03,315983.0,852.0,733.143,2580.0,26.0,18.143,36506.441,98.434,84.702,298.075,3.004,2.096,,,,,,,,,,,,,,,,,,,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
ITA,Europe,Italy,2020-11-03,731588.0,22253.0,26971.286,39059.0,233.0,225.714,12099.998,368.05,446.088,646.011,3.854,3.733,,,,,,,,,,,,,,,,,,,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
JAM,North America,Jamaica,2020-11-03,9257.0,126.0,72.571,210.0,1.0,2.571,3126.139,42.551,24.508,70.918,0.338,0.868,,,,,,,,,,,,,,,,,,,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
JEY,Europe,Jersey,2020-11-03,591.0,17.0,5.0,32.0,0.0,0.0,5847.259,168.195,49.469,316.603,0.0,0.0,,,,,,,,,,,,,,,,,,,101073.0,,,,,,,,,,,,,,
JOR,Asia,Jordan,2020-11-03,81743.0,5877.0,3812.571,913.0,47.0,41.286,8011.553,575.999,373.666,89.482,4.606,4.046,,,,,,,,,,,,,,,,,,75.93,10203140.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
JPN,Asia,Japan,2020-11-03,102281.0,468.0,683.286,1780.0,6.0,7.857,808.696,3.7,5.402,14.074,0.047,0.062,,,,,,,,,,,,,,,,,,,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
KAZ,Asia,Kazakhstan,2020-11-03,151321.0,458.0,529.429,2261.0,34.0,10.0,8058.974,24.392,28.196,120.415,1.811,0.533,,,,,,,,,,,,,,,,,,,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.8
KEN,Africa,Kenya,2020-11-03,56601.0,724.0,943.429,1027.0,14.0,15.286,1052.625,13.464,17.545,19.099,0.26,0.284,,,,,,,,,,,,,,,,,,,53771300.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
KGZ,Asia,Kyrgyzstan,2020-11-03,60279.0,400.0,505.857,1159.0,4.0,3.286,9239.306,61.31,77.536,177.647,0.613,0.504,,,,,,,,,,,,,,,,,,,6524191.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.672
KHM,Asia,Cambodia,2020-11-03,292.0,1.0,0.571,,0.0,0.0,17.465,0.06,0.034,,0.0,0.0,,,,,,,,,,,,,,,,,,,16718971.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.582
KNA,North America,Saint Kitts and Nevis,2020-11-03,19.0,0.0,0.0,,0.0,0.0,357.197,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
KOR,Asia,South Korea,2020-11-03,26807.0,75.0,109.143,472.0,4.0,1.714,522.868,1.463,2.129,9.206,0.078,0.033,,,,,,,,,2624044.0,12918.0,51.182,0.252,11351.0,0.221,104.001,0.01,people tested,,51269183.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.903
KWT,Asia,Kuwait,2020-11-03,127293.0,759.0,710.857,786.0,4.0,5.286,29807.077,177.728,166.455,184.051,0.937,1.238,,,,,,,,,,,,,,,,,,,4270563.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.803
LAO,Asia,Laos,2020-11-03,24.0,0.0,0.0,,0.0,0.0,3.299,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
LBN,Asia,Lebanon,2020-11-03,83697.0,1080.0,1644.429,652.0,9.0,10.429,12262.503,158.232,240.926,95.525,1.319,1.528,,,,,,,,,,,,,,,,,,,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.757
LBR,Africa,Liberia,2020-11-03,1436.0,10.0,2.857,82.0,0.0,0.0,283.925,1.977,0.565,16.213,0.0,0.0,,,,,,,,,,,,,,,,,,,5057677.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435
LBY,Africa,Libya,2020-11-03,62907.0,862.0,812.0,880.0,9.0,11.286,9155.053,125.45,118.173,128.069,1.31,1.642,,,,,,,,,,,,,,,,,,,6871287.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.706
