iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
SWE,Europe,Sweden,2020-10-30,124355.0,2616.0,1908.857,5938.0,0.0,2.143,12313.266,259.029,189.009,587.963,0.0,0.212,,,,,,,,,,,,,,,,,,,10099270.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.933
SWZ,Africa,Swaziland,2020-11-03,5929.0,4.0,9.429,117.0,0.0,0.143,5110.484,3.448,8.127,100.848,0.0,0.123,,,,,,,,,,,,,,,,,,,1160164.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.588
SXM,North America,Sint Maarten (Dutch part),2020-11-03,844.0,13.0,7.857,22.0,0.0,0.0,19681.918,303.158,183.227,513.036,0.0,0.0,,,,,,,,,,,,,,,,,,,42882.0,1209.088,,,,36327.232,,,,,,,,78.95,
SYC,Africa,Seychelles,2020-11-03,155.0,2.0,0.286,,0.0,0.0,1576.164,20.338,2.905,,0.0,0.0,,,,,,,,,,,,,,,,,,,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
SYR,Asia,Syria,2020-11-03,5843.0,54.0,54.571,295.0,3.0,3.286,333.873,3.086,3.118,16.857,0.171,0.188,,,,,,,,,,,,,,,,,,,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.536
TCA,North America,Turks and Caicos Islands,2020-11-03,704.0,0.0,0.429,6.0,0.0,0.0,18182.757,0.0,11.069,154.967,0.0,0.0,,,,,,,,,,,,,,,,,,,38718.0,37.312,,,,,,,,,,,,80.22,
TCD,Africa,Chad,2020-11-03,1499.0,1.0,8.286,98.0,0.0,0.286,91.259,0.061,0.504,5.966,0.0,0.017,,,,,,,,,,,,,,,,,,,16425859.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.404
TGO,Africa,Togo,2020-11-03,2364.0,7.0,22.857,57.0,0.0,0.571,285.551,0.846,2.761,6.885,0.0,0.069,,,,,,,,,,,,,,,,,,,8278737.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
THA,Asia,Thailand,2020-11-03,3797.0,10.0,7.286,59.0,0.0,0.0,54.398,0.143,0.104,0.845,0.0,0.0,,,,,,,,,,,,,,,,,,,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
TJK,Asia,Tajikistan,2020-11-03,11096.0,42.0,39.571,82.0,0.0,0.143,1163.39,4.404,4.149,8.598,0.0,0.015,,,,,,,,,,,,,,,,,,,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.65
TLS,Asia,Timor,2020-11-03,30.0,0.0,0.0,,0.0,0.0,22.754,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,1318442.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
TTO,North America,Trinidad and Tobago,2020-11-03,5704.0,36.0,24.143,109.0,2.0,0.429,4075.768,25.724,17.251,77.885,1.429,0.306,,,,,,,,,,,,,,,,,,,1399491.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
TUN,Africa,Tunisia,2020-11-03,61906.0,0.0,1358.143,1381.0,0.0,56.857,5238.007,0.0,114.916,116.85,0.0,4.811,,,,,,,,,,,,,,,,,,,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.735
TUR,Asia,Turkey,2020-11-03,379775.0,2302.0,2253.714,10402.0,76.0,75.429,4502.955,27.295,26.722,123.335,0.901,0.894,,,,,,,,,,,,,,,,,,,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TWN,Asia,Taiwan,2020-11-03,567.0,4.0,2.429,7.0,0.0,0.0,23.807,0.168,0.102,0.294,0.0,0.0,,,,,,,,,,,,,,,,,,,23816775.0,,42.2,,8.353,,,103.957,,,,,,80.46,
TZA,Africa,Tanzania,2020-11-03,509.0,0.0,0.0,21.0,0.0,0.0,8.521,0.0,0.0,0.352,0.0,0.0,,,,,,,,,,,,,,,,,,,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.538
UGA,Africa,Uganda,2020-11-03,12971.0,228.0,202.0,114.0,2.0,1.857,283.575,4.985,4.416,2.492,0.044,0.041,,,,,,,,,,,,,,,,,,,45741000.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.516
UKR,Europe,Ukraine,2020-11-03,402194.0,6754.0,7610.0,7375.0,69.0,130.143,9196.42,154.434,174.007,168.634,1.578,2.976,,,,,,,,,3379029.0,34818.0,77.264,0.796,41677.0,0.953,5.477,0.183,tests performed,,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
URY,South America,Uruguay,2020-11-03,3165.0,16.0,41.857,60.0,1.0,0.857,911.125,4.606,12.05,17.273,0.288,0.247,,,,,,,,,,,,,,,,,,,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.804
